ID,Entidad,Sentimiento,Texto
502,2486,borderlands,Neutral
503,2486,borderlands,Neutral
504,2486,borderlands,Neutral
505,2487,borderlands,Positive
506,2487,borderlands,Positive
507,2487,borderlands,Positive
508,2487,borderlands,Positive
509,2487,borderlands,Positive
510,2487,borderlands,Positive
511,2488,borderlands,Positive
512,2488,borderlands,Positive
513,2488,borderlands,Positive
514,2488,borderlands,Positive
515,2488,borderlands,Positive
516,2488,borderlands,Positive
517,2489,borderlands,Neutral
518,2489,borderlands,Neutral
519,2489,borderlands,Neutral
520,2489,borderlands,Neutral
521,2489,borderlands,Neutral
522,2489,borderlands,Neutral
523,2490,borderlands,Negative
524,2490,borderlands,Negative
525,2490,borderlands,Negative
526,2490,borderlands,Negative
527,2490,borderlands,Negative
528,2490,borderlands,Negative
529,2492,borderlands,Negative
530,2492,borderlands,Negative
531,2492,borderlands,Negative
532,2492,borderlands,Negative
533,2492,borderlands,Negative
534,2492,borderlands,Negative
535,2493,borderlands,Positive
536,2493,borderlands,Positive
537,2493,borderlands,Positive
538,2493,borderlands,Positive
539,2493,borderlands,Positive
540,2493,borderlands,Positive
541,2494,borderlands,Irrelevant
542,2494,borderlands,Irrelevant
543,2494,borderlands,Irrelevant
544,2494,borderlands,Irrelevant
545,2494,borderlands,Irrelevant
546,2494,borderlands,Irrelevant
547,2495,borderlands,Positive
548,2495,borderlands,Positive
549,2495,borderlands,Positive
550,2495,borderlands,Positive
551,2495,borderlands,Positive
552,2495,borderlands,Positive
553,2496,borderlands,Neutral
554,2496,borderlands,Neutral
555,2496,borderlands,Neutral
556,2496,borderlands,Neutral
557,2496,borderlands,Neutral
558,2496,borderlands,Neutral
559,2497,borderlands,Neutral
560,2497,borderlands,Neutral
561,2497,borderlands,Neutral
562,2497,borderlands,Neutral
563,2497,borderlands,Neutral
564,2497,borderlands,Neutral
565,2498,borderlands,Irrelevant
566,2498,borderlands,Irrelevant
567,2498,borderlands,Irrelevant
568,2498,borderlands,Irrelevant
569,2498,borderlands,Irrelevant
570,2498,borderlands,Irrelevant
571,2499,borderlands,Neutral
572,2499,borderlands,Neutral
573,2499,borderlands,Neutral
574,2499,borderlands,Neutral
575,2499,borderlands,Neutral
576,2499,borderlands,Neutral
577,2500,borderlands,Irrelevant
578,2500,borderlands,Irrelevant
579,2500,borderlands,Irrelevant
580,2500,borderlands,Irrelevant
581,2500,borderlands,Irrelevant
582,2500,borderlands,Irrelevant
583,2501,borderlands,Irrelevant
584,2501,borderlands,Irrelevant
585,2501,borderlands,Irrelevant
586,2501,borderlands,Irrelevant
587,2501,borderlands,Irrelevant
588,2501,borderlands,Irrelevant
589,2503,borderlands,Neutral
590,2503,borderlands,Neutral
591,2503,borderlands,Neutral
592,2503,borderlands,Neutral
593,2503,borderlands,Neutral
594,2503,borderlands,Neutral
595,2504,borderlands,Positive
596,2504,borderlands,Positive
597,2504,borderlands,Positive
598,2504,borderlands,Positive
599,2504,borderlands,Positive
600,2504,borderlands,Positive
601,2505,borderlands,Positive
602,2505,borderlands,Positive
603,2505,borderlands,Positive
604,2505,borderlands,Positive
605,2505,borderlands,Positive
606,2505,borderlands,Positive
607,2506,borderlands,Neutral
608,2506,borderlands,Neutral
609,2506,borderlands,Neutral
610,2506,borderlands,Neutral
611,2506,borderlands,Neutral
612,2506,borderlands,Neutral
613,2507,borderlands,Positive
614,2507,borderlands,Positive
615,2507,borderlands,Positive
616,2507,borderlands,Positive
617,2507,borderlands,Positive
618,2507,borderlands,Positive
619,2508,borderlands,Positive
620,2508,borderlands,Positive
621,2508,borderlands,Positive
622,2508,borderlands,Positive
623,2508,borderlands,Positive
624,2508,borderlands,Positive
625,2509,borderlands,Positive
626,2509,borderlands,Positive
627,2509,borderlands,Positive
628,2509,borderlands,Positive
629,2509,borderlands,Positive
630,2509,borderlands,Positive
631,2510,borderlands,Positive
632,2510,borderlands,Positive
633,2510,borderlands,Positive
634,2510,borderlands,Positive
635,2510,borderlands,Positive
636,2510,borderlands,Positive
637,2511,borderlands,Neutral
638,2511,borderlands,Neutral
639,2511,borderlands,Neutral
640,2511,borderlands,Neutral
641,2511,borderlands,Neutral
642,2511,borderlands,Neutral
643,2513,borderlands,Positive
644,2513,borderlands,Positive
645,2513,borderlands,Positive
646,2513,borderlands,Positive
647,2513,borderlands,Positive
648,2513,borderlands,Positive
649,2515,borderlands,Neutral
650,2515,borderlands,Neutral
651,2515,borderlands,Neutral
652,2515,borderlands,Neutral
653,2515,borderlands,Neutral
654,2515,borderlands,Neutral
655,2516,borderlands,Neutral
656,2516,borderlands,Neutral
657,2516,borderlands,Neutral
658,2516,borderlands,Neutral
659,2516,borderlands,Neutral
660,2516,borderlands,Neutral
661,2517,borderlands,Positive
662,2517,borderlands,Positive
663,2517,borderlands,Positive
664,2517,borderlands,Positive
665,2517,borderlands,Positive
666,2517,borderlands,Positive
667,2518,borderlands,Positive
668,2518,borderlands,Positive
669,2518,borderlands,Positive
670,2518,borderlands,Positive
671,2518,borderlands,Positive
672,2518,borderlands,Positive
673,2519,borderlands,Irrelevant
674,2519,borderlands,Irrelevant
675,2519,borderlands,Irrelevant
676,2519,borderlands,Irrelevant
677,2519,borderlands,Irrelevant
678,2519,borderlands,Irrelevant
679,2520,borderlands,Neutral
680,2520,borderlands,Neutral
681,2520,borderlands,Neutral
682,2520,borderlands,Neutral
683,2520,borderlands,Neutral
684,2520,borderlands,Neutral
685,2521,borderlands,Positive
686,2521,borderlands,Positive
687,2521,borderlands,Positive
688,2521,borderlands,Positive
689,2521,borderlands,Positive
690,2521,borderlands,Positive
691,2522,borderlands,Neutral
692,2522,borderlands,Neutral
693,2522,borderlands,Neutral
694,2522,borderlands,Neutral
695,2522,borderlands,Neutral
696,2522,borderlands,Neutral
697,2523,borderlands,Neutral
698,2523,borderlands,Neutral
699,2523,borderlands,Neutral
700,2523,borderlands,Neutral
701,2523,borderlands,Neutral
702,2523,borderlands,Neutral
703,2524,borderlands,Positive
704,2524,borderlands,Positive
705,2524,borderlands,Positive
706,2524,borderlands,Positive
707,2524,borderlands,Positive
708,2524,borderlands,Positive
709,2525,borderlands,Neutral
710,2525,borderlands,Neutral
711,2525,borderlands,Neutral
712,2525,borderlands,Neutral
713,2525,borderlands,Neutral
714,2525,borderlands,Neutral
715,2526,borderlands,Positive
716,2526,borderlands,Positive
717,2526,borderlands,Positive
718,2526,borderlands,Positive
719,2526,borderlands,Positive
720,2526,borderlands,Positive
721,2527,borderlands,Positive
722,2527,borderlands,Positive
723,2527,borderlands,Positive
724,2527,borderlands,Positive
725,2527,borderlands,Positive
726,2527,borderlands,Positive
727,2528,borderlands,Negative
728,2528,borderlands,Negative
729,2528,borderlands,Negative
730,2528,borderlands,Negative
731,2528,borderlands,Negative
732,2528,borderlands,Negative
733,2530,borderlands,Negative
734,2530,borderlands,Negative
735,2530,borderlands,Negative
736,2530,borderlands,Negative
737,2530,borderlands,Negative
738,2530,borderlands,Negative
739,2531,borderlands,Positive
740,2531,borderlands,Positive
741,2531,borderlands,Positive
742,2531,borderlands,Positive
743,2531,borderlands,Positive
744,2531,borderlands,Positive
745,2532,borderlands,Positive
746,2532,borderlands,Positive
747,2532,borderlands,Positive
748,2532,borderlands,Positive
749,2532,borderlands,Positive
750,2532,borderlands,Positive
751,2533,borderlands,Neutral
752,2533,borderlands,Neutral
753,2533,borderlands,Neutral
754,2533,borderlands,Neutral
755,2533,borderlands,Neutral
756,2533,borderlands,Neutral
757,2534,borderlands,Neutral
758,2534,borderlands,Neutral
759,2534,borderlands,Neutral
760,2534,borderlands,Neutral
761,2534,borderlands,Neutral
762,2534,borderlands,Neutral
763,2535,borderlands,Negative
764,2535,borderlands,Negative
765,2535,borderlands,Negative
766,2535,borderlands,Negative
767,2535,borderlands,Negative
768,2535,borderlands,Negative
769,2536,borderlands,Negative
770,2536,borderlands,Negative
771,2536,borderlands,Negative
772,2536,borderlands,Negative
773,2536,borderlands,Negative
774,2536,borderlands,Negative
775,2537,borderlands,Neutral
776,2537,borderlands,Neutral
777,2537,borderlands,Neutral
778,2537,borderlands,Neutral
779,2537,borderlands,Neutral
780,2537,borderlands,Neutral
781,2538,borderlands,Positive
782,2538,borderlands,Positive
783,2538,borderlands,Positive
784,2538,borderlands,Positive
785,2538,borderlands,Positive
786,2538,borderlands,Positive
787,2539,borderlands,Negative
788,2539,borderlands,Negative
789,2539,borderlands,Negative
790,2539,borderlands,Negative
791,2539,borderlands,Negative
792,2539,borderlands,Negative
793,2540,borderlands,Negative
794,2540,borderlands,Negative
795,2540,borderlands,Negative
796,2540,borderlands,Negative
797,2540,borderlands,Negative
798,2540,borderlands,Negative
799,2541,borderlands,Neutral
800,2541,borderlands,Neutral
801,2541,borderlands,Neutral
802,2541,borderlands,Neutral
803,2541,borderlands,Neutral
804,2541,borderlands,Neutral
805,2542,borderlands,Irrelevant
806,2542,borderlands,Irrelevant
807,2542,borderlands,Irrelevant
808,2542,borderlands,Irrelevant
809,2542,borderlands,Irrelevant
810,2542,borderlands,Irrelevant
811,2543,borderlands,Positive
812,2543,borderlands,Positive
813,2543,borderlands,Positive
814,2543,borderlands,Positive
815,2543,borderlands,Positive
816,2543,borderlands,Positive
817,2544,borderlands,Negative
818,2544,borderlands,Negative
819,2544,borderlands,Negative
820,2544,borderlands,Negative
821,2544,borderlands,Negative
822,2544,borderlands,Negative
823,2545,borderlands,Positive
824,2545,borderlands,Positive
825,2545,borderlands,Positive
826,2545,borderlands,Positive
827,2545,borderlands,Positive
828,2545,borderlands,Positive
829,2546,borderlands,Positive
830,2546,borderlands,Positive
831,2546,borderlands,Positive
832,2546,borderlands,Positive
833,2546,borderlands,Positive
834,2546,borderlands,Positive
835,2547,borderlands,Positive
836,2547,borderlands,Positive
837,2547,borderlands,Positive
838,2547,borderlands,Positive
839,2547,borderlands,Positive
840,2547,borderlands,Positive
841,2548,borderlands,Negative
842,2548,borderlands,Negative
843,2548,borderlands,Negative
844,2548,borderlands,Negative
845,2548,borderlands,Negative
846,2548,borderlands,Negative
847,2550,borderlands,Negative
848,2550,borderlands,Negative
849,2550,borderlands,Negative
850,2550,borderlands,Negative
851,2550,borderlands,Negative
852,2550,borderlands,Negative
853,2551,borderlands,Positive
854,2551,borderlands,Positive
855,2551,borderlands,Positive
856,2551,borderlands,Positive
857,2551,borderlands,Positive
858,2551,borderlands,Positive
859,2552,borderlands,Negative
860,2552,borderlands,Negative
861,2552,borderlands,Negative
862,2552,borderlands,Negative
863,2552,borderlands,Negative
864,2552,borderlands,Negative
865,2553,borderlands,Positive
866,2553,borderlands,Positive
867,2553,borderlands,Positive
868,2553,borderlands,Positive
869,2553,borderlands,Positive
870,2553,borderlands,Positive
871,2554,borderlands,Negative
872,2554,borderlands,Negative
873,2554,borderlands,Negative
874,2554,borderlands,Negative
875,2554,borderlands,Negative
876,2554,borderlands,Negative
877,2555,borderlands,Negative
878,2555,borderlands,Negative
879,2555,borderlands,Negative
880,2555,borderlands,Negative
881,2555,borderlands,Negative
882,2555,borderlands,Negative
883,2556,borderlands,Positive
884,2556,borderlands,Positive
885,2556,borderlands,Positive
886,2556,borderlands,Positive
887,2556,borderlands,Positive
888,2556,borderlands,Positive
889,2557,borderlands,Neutral
890,2557,borderlands,Neutral
891,2557,borderlands,Neutral
892,2557,borderlands,Neutral
893,2557,borderlands,Neutral
894,2557,borderlands,Neutral
895,2558,borderlands,Neutral
896,2558,borderlands,Neutral
897,2558,borderlands,Neutral
898,2558,borderlands,Neutral
899,2558,borderlands,Neutral
900,2558,borderlands,Neutral
901,2559,borderlands,Positive
902,2559,borderlands,Positive
903,2559,borderlands,Positive
904,2559,borderlands,Positive
905,2559,borderlands,Positive
906,2559,borderlands,Positive
907,2561,borderlands,Negative
908,2561,borderlands,Negative
909,2561,borderlands,Negative
910,2561,borderlands,Negative
911,2561,borderlands,Negative
912,2561,borderlands,Negative
913,2562,borderlands,Neutral
914,2562,borderlands,Neutral
915,2562,borderlands,Neutral
916,2562,borderlands,Neutral
917,2562,borderlands,Neutral
918,2562,borderlands,Neutral
919,2563,borderlands,Neutral
920,2563,borderlands,Neutral
921,2563,borderlands,Neutral
922,2563,borderlands,Neutral
923,2563,borderlands,Neutral
924,2563,borderlands,Neutral
925,2564,borderlands,Irrelevant
926,2564,borderlands,Irrelevant
927,2564,borderlands,Irrelevant
928,2564,borderlands,Irrelevant
929,2564,borderlands,Irrelevant
930,2564,borderlands,Irrelevant
931,2565,borderlands,Positive
932,2565,borderlands,Positive
933,2565,borderlands,Positive
934,2565,borderlands,Positive
935,2565,borderlands,Positive
936,2565,borderlands,Positive
937,2566,borderlands,Neutral
938,2566,borderlands,Neutral
939,2566,borderlands,Neutral
940,2566,borderlands,Neutral
941,2566,borderlands,Neutral
942,2566,borderlands,Neutral
943,2567,borderlands,Neutral
944,2567,borderlands,Neutral
945,2567,borderlands,Neutral
946,2567,borderlands,Neutral
947,2567,borderlands,Neutral
948,2567,borderlands,Neutral
949,2569,borderlands,Positive
950,2569,borderlands,Positive
951,2569,borderlands,Positive
952,2569,borderlands,Positive
953,2569,borderlands,Positive
954,2569,borderlands,Positive
955,2570,borderlands,Positive
956,2570,borderlands,Positive
957,2570,borderlands,Positive
958,2570,borderlands,Positive
959,2570,borderlands,Positive
960,2570,borderlands,Positive
961,2571,borderlands,Positive
962,2571,borderlands,Positive
963,2571,borderlands,Positive
964,2571,borderlands,Positive
965,2571,borderlands,Positive
966,2571,borderlands,Positive
967,2572,borderlands,Negative
968,2572,borderlands,Negative
969,2572,borderlands,Negative
970,2572,borderlands,Negative
971,2572,borderlands,Negative
972,2572,borderlands,Negative
973,2573,borderlands,Negative
974,2573,borderlands,Negative
975,2573,borderlands,Negative
976,2573,borderlands,Negative
977,2573,borderlands,Negative
978,2573,borderlands,Negative
979,2574,borderlands,Positive
980,2574,borderlands,Positive
981,2574,borderlands,Positive
982,2574,borderlands,Positive
983,2574,borderlands,Positive
984,2574,borderlands,Positive
985,2575,borderlands,Irrelevant
986,2575,borderlands,Irrelevant
987,2575,borderlands,Irrelevant
988,2575,borderlands,Irrelevant
989,2575,borderlands,Irrelevant
990,2575,borderlands,Irrelevant
991,2576,borderlands,Positive
992,2576,borderlands,Positive
993,2576,borderlands,Positive
994,2576,borderlands,Positive
995,2576,borderlands,Positive
996,2576,borderlands,Positive
997,2577,borderlands,Positive
998,2577,borderlands,Positive
999,2577,borderlands,Positive
1000,2577,borderlands,Positive
